title,price,rating,availability
A Light in the Attic,£51.77,Three,YES
Tipping the Velvet,£53.74,One,YES
Soumission,£50.10,One,YES
Sharp Objects,£47.82,Four,YES
Sapiens: A Brief History of Humankind,£54.23,Five,YES
The Requiem Red,£22.65,One,YES
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,YES
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,YES
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,YES
The Black Maria,£52.15,One,YES
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,YES
Shakespeare's Sonnets,£20.66,Four,YES
Set Me Free,£17.46,Five,YES
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,YES
Rip it Up and Start Again,£35.02,Five,YES
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,YES
Olio,£23.88,One,YES
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,YES
Libertarianism for Beginners,£51.33,Two,YES
It's Only the Himalayas,£45.17,Two,YES
In Her Wake,£12.84,One,YES
How Music Works,£37.32,Two,YES
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,YES
Chase Me (Paris Nights #2),£25.27,Five,YES
Black Dust,£34.53,Five,YES
Birdsong: A Story in Pictures,£54.64,Three,YES
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,YES
Aladdin and His Wonderful Lamp,£53.13,Three,YES
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,YES
Wall and Piece,£44.18,Four,YES
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,YES
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,YES
The Elephant Tree,£23.82,Five,YES
The Bear and the Piano,£36.89,One,YES
Sophie's World,£15.94,Five,YES
Penny Maybe,£33.29,Three,YES
Maude (1883-1993):She Grew Up with the country,£18.02,Two,YES
"In a Dark, Dark Wood",£19.63,One,YES
Behind Closed Doors,£52.22,Four,YES
You can't bury them all: Poems,£33.63,Two,YES
Slow States of Collapse: Poems,£57.31,Three,YES
Reasons to Stay Alive,£26.41,Two,YES
Private Paris (Private #10),£47.61,Five,YES
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,YES
Without Borders (Wanderlove #1),£45.07,Two,YES
When We Collided,£31.77,One,YES
"We Love You, Charlie Freeman",£50.27,Five,YES
Untitled Collection: Sabbath Poems 2014,£14.27,Four,YES
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,YES
Unicorn Tracks,£18.78,Three,YES
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,YES
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,YES
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,YES
This One Summer,£19.49,Four,YES
Thirst,£17.27,Five,YES
The Torch Is Passed: A Harding Family Story,£19.09,One,YES
The Secret of Dreadwillow Carse,£56.13,One,YES
